GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_storage_efficiency
H_La_Vuelta,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_LaPita,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_LaRebusca,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_LasPalmas,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,15,.
H_Libertad,Hidro,Water,Nordeste,200,1,.,1.39,0,0,0,.,.
H_LuzMaI,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_LuzMaII,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Magallo,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Mirolindo,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Mondomo,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Montanitas,RunOfRiver,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_MorroAzul,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Municipal,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Naveta,Hidro,Water,Oriental,200,1,.,1.39,0,0,0,.,.
H_Nima,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Niquia,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Nuevoliba,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Oibita,Hidro,Water,Nordeste,200,1,.,1.39,0,0,0,.,.
H_Ovejas,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Pajarito,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Pastales,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_PaticoCab,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Pocune,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Porce3Meno,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_ProvidencI,Hidro,Water,Caribe,200,1,.,1.39,0,0,0,.,.
H_Puente_Gui,Hidro,Water,Nordeste,200,1,.,1.39,0,0,0,.,.
H_Remedios,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Rio_Recio,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioBobo,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioCali,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioFrioI,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioFrioII,RunOfRiver,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioFrioTam,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_RioGrande,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioMayo,RunOfRiver,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioMulato2,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_RioNegro,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioPalo,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_RioPiedras,RunOfRiver,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_RioSapuye,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Rumor,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Sajandi,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_SanAndres2,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_SanCancio,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_SanJose,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_SanJosMoII,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_SanMatias,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_SantaAna,Hidro,Water,Oriental,200,1,.,1.39,0,0,0,.,.
H_SantaRita,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Santiago,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_SBartolome,Hidro,Water,Nordeste,200,1,.,1.39,0,0,0,.,.
H_SFrancisPu,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Silvia,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Suba,Hidro,Water,Oriental,200,1,.,1.39,0,0,0,.,.
H_Sueva2,Hidro,Water,Oriental,200,1,.,1.39,0,0,0,.,.
H_TuluaAlto,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_TuluaBajo,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Tunjita,Hidro,Water,Oriental,200,1,.,1.39,0,0,0,.,.
H_Union,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Urrao,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Usaquen,Hidro,Water,Oriental,200,1,.,1.39,0,0,0,.,.
H_AutGold,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_VentanaA,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_VentanaB,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
H_Violetas,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
H_Zeus,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
INSULA,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
ITUANGO,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
H_PAGUA,Hidro,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
H_GUATRON,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
H_ALBAN,Hidro,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
S_Dulima,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Cauca,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Ferch2,pv_solar,Solar,Nordeste,200,1,.,0.0,0,0,0,.,.
S_Salado,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_AutJeans,pv_solar,Solar,Antioquia,200,1,.,0.0,0,0,0,.,.
S_AutPintuco,pv_solar,Solar,Antioquia,200,1,.,0.0,0,0,0,.,.
S_Palmira3,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Belmonte,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Termotasajero,pv_solar,Solar,Nordeste,200,1,.,0.0,0,0,0,.,.
S_Victoria_I,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Victoria_II,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Flandes,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_BSLI,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_BSLII,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_BSLIII,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_Espinal,pv_solar,Solar,Antioquia,200,1,.,0.0,0,0,0,.,.
JAGUAS,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
LA TASAJERA,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
MERILECTRICA,Thermal,GASNACIO,Nordeste,200,0,9.0003,7.08,0,0,0,.,.
MIEL I,Hidro,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
PAIPA 1,Thermal,CARBON,Nordeste,200,0,12.4335,8.391108027,0,0,0,.,.
PAIPA 2,Thermal,CARBON,Nordeste,200,0,10.5569,8.391108027,0,0,0,.,.
PAIPA 3,Thermal,CARBON,Nordeste,200,0,11.4369,8.391108027,0,0,0,.,.
PAIPA 4,Thermal,CARBON,Nordeste,200,0,9.2991,8.391108027,0,0,0,.,.
PLAYAS,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
PORCE II,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
PORCE III,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
PRADO,Hidro,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
PRADO4,Hidro,Water,Surocciden,200,1,.,1.39,0,0,0,.,.
PROELECTRIC1,Thermal,GASNACIO,Caribe,200,0,8.2719,7.08,0,0,0,.,.
PROELECTRIC2,Thermal,GASNACIO,Caribe,200,0,8.0707,7.08,0,0,0,.,.
RIOGRANDE 1,Hidro,Water,Antioquia,200,1,.,1.39,0,0,0,.,.
SALTO II,RunOfRiver,Water,Oriental,200,0,.,1.39,0,0,0,.,.
SALVAJINA,Hidro,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
SAN CARLOS,Hidro,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
SANFRANCISCO,RunOfRiver,Water,Surocciden,200,0,.,1.39,0,0,0,.,.
SNMIGUEL,RunOfRiver,Water,Antioquia,200,0,.,1.39,0,0,0,.,.
SOGAMOSO,Hidro,Water,Nordeste,200,0,.,1.39,0,0,0,.,.
T_AutArCairo,Thermal,CARBON,Antioquia,200,0,0.0,8.391108027,0,0,0,.,.
T_TermYopal1,Thermal,CARBON,Nordeste,200,0,13.5515,8.391108027,0,0,0,.,.
TASAJERO 1,Thermal,CARBON,Nordeste,200,0,9.2374,8.391108027,0,0,0,.,.
TASAJERO 2,Thermal,CARBON,Nordeste,200,0,10.1502,8.391108027,0,0,0,.,.
TC_GECELCA3,Thermal,CARBON,Caribe,200,0,10.1434,8.391108027,0,0,0,.,.
TC_GECELCA32,Thermal,CARBON,Caribe,200,0,10.2484,8.391108027,0,0,0,.,.
TEBSAB,Thermal,GASNACIO,Caribe,200,0,7.1898,7.08,0,0,0,.,.
TEQUEND1-4,Hidro,Water,Oriental,200,1,.,1.39,0,0,0,.,.
TERMO YOPAL2,Thermal,GASNACIO,Nordeste,200,0,12.0234,7.08,0,0,0,.,.
TERMOCENTRO,Thermal,GASNACIO,Antioquia,200,0,7.372,6.99,0,0,0,.,.
TERMODORADA1,Thermal,ACPM,Surocciden,200,0,9.663,9.3,0,0,0,.,.
TERMOEMCALI,Thermal,ACPM,Surocciden,200,0,6.9386,9.3,0,0,0,.,.
TERMONORTE,Thermal,ACPM,Caribe,200,0,8.09,9.3,0,0,0,.,.
TERMOSIERRA,Thermal,ACPM,Antioquia,200,0,6.2688,9.3,0,0,0,.,.
TERMOVALLE,Thermal,ACPM,Surocciden,200,0,6.5573,9.3,0,0,0,.,.
TERMOYOPALG3,Thermal,GASNACIO,Nordeste,200,0,8.4932,7.08,0,0,0,.,.
TERMOYOPALG4,Thermal,GASNACIO,Nordeste,200,0,8.3937,7.08,0,0,0,.,.
TERMOYOPALG5,Thermal,GASNACIO,Nordeste,200,0,8.0585,7.08,0,0,0,.,.
URRA,Hidro,Water,Caribe,200,0,.,1.39,0,0,0,.,.
ZIPAEMG2,Thermal,CARBON,Oriental,200,0,11.4401,8.391108027,0,0,0,.,.
ZIPAEMG3,Thermal,CARBON,Oriental,200,0,11.7024,8.391108027,0,0,0,.,.
ZIPAEMG4,Thermal,CARBON,Oriental,200,0,12.9999,8.391108027,0,0,0,.,.
ZIPAEMG5,Thermal,CARBON,Oriental,200,0,11.6678,8.391108027,0,0,0,.,.
E_Jepirachi,Eolica,Wind,Caribe,19,1,.,0.0,0,0,0,.,.
E_Wesp01,Eolica,Wind,Caribe,19,1,.,0.0,0,0,0,.,.
E_GuajiraI,Eolica,Wind,Caribe,200,1,.,0.0,0,0,0,.,.
S_Cabelleros,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Montelibano,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Lanceros,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_SanFelipe,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_Cienaguero,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Yuma,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_Tucanes,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Paila,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Aurora,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Cerrito,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Fundacion,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Girasoles,pv_solar,Solar,Nordeste,200,1,.,0.0,0,0,0,.,.
S_Medin,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_PetaCesaII,pv_solar,Solar,Nordeste,200,1,.,0.0,0,0,0,.,.
S_BayuncaI,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Palmira3_Franca,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_SalvadorI,pv_solar,Solar,Antioquia,200,1,.,0.0,0,0,0,.,.
S_SalvadorII,pv_solar,Solar,Antioquia,200,1,.,0.0,0,0,0,.,.
S_AutSolla,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_AutEncanto,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Uruaco,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Harinas,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_AutLevapan,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_AutGragas,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Carmelo,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_PortonSol,pv_solar,Solar,Antioquia,200,1,.,0.0,0,0,0,.,.
S_Sierpe,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Since,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_HeliosI,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_SolBolivar,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Yumbo,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_TierraLind,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Tolua,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_BSLlanos4,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_BSLlanos5,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
S_LaLoma,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_ParqueUrra,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_CaracoliI,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Tepuy,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_El_Paso,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
TERMO_JAGUEY,Thermal,ACPM,Oriental,200,0,0,8.43,0,0,0,.,.
TERMORUBIALE,Thermal,ACPM,Oriental,200,0,0,8.43,0,0,0,.,.
S_LaMata,pv_solar,Solar,Nordeste,200,1,.,0.0,0,0,0,.,.
S_Escobal6,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
S_Union,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Nabusimake,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Guayepo,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
S_Sunnorte,pv_solar,Solar,Nordeste,200,1,.,0.0,0,0,0,.,.
E_Windpeshi,Eolica,Wind,Caribe,200,1,.,0.0,0,0,0,.,.
E_ParqueAlph,Eolica,Wind,Caribe,200,1,.,0.0,0,0,0,.,.
E_ParqueBeta,Eolica,Wind,Caribe,200,1,.,0.0,0,0,0,.,.
E_Camelia,Eolica,Wind,Caribe,200,1,.,0.0,0,0,0,.,.
E_CasaElec,Eolica,Wind,Caribe,200,1,.,0.0,0,0,0,.,.
E_Apoto,Eolica,Wind,Caribe,200,1,.,0.0,0,0,0,.,.
TermoCaribe3,Thermal,GASIMPOR,Caribe,200,0,8.597,8.4,0,0,0,.,.
DST_Surocciden,pv_solar,Solar,Surocciden,200,1,.,0.0,0,0,0,.,.
DST_Caribe,pv_solar,Solar,Caribe,200,1,.,0.0,0,0,0,.,.
DST_Oriental,pv_solar,Solar,Oriental,200,1,.,0.0,0,0,0,.,.
DST_Antioquia,pv_solar,Solar,Antioquia,200,1,.,0.0,0,0,0,.,.
DST_Nordeste,pv_solar,Solar,Nordeste,200,1,.,0.0,0,0,0,.,.
ITUANGO2,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Antioquia,Hidro,Water,Antioquia,200,0,.,1.57,0,.,.,184,.
T_Surocciden,Thermal,GASNACIO,Surocciden,200,0,7.5166,7.08,0,0,0,153.2,.
T_Caribe,Thermal,GASNACIO,Caribe,200,0,7.5166,7.08,0,0,0,153.2,.
T_Oriental,Thermal,GASNACIO,Oriental,200,0,7.5166,7.08,0,0,0,153.2,.
T_Antioquia,Thermal,GASNACIO,Antioquia,200,0,7.5166,7.08,0,0,0,153.2,.
T_Nordeste,Thermal,GASNACIO,Nordeste,200,0,7.5166,7.08,0,0,0,153.2,.
PV_Surocciden,pv_solar,Solar,Surocciden,200,1,.,0.0,0,.,.,1869,.
PV_Caribe,pv_solar,Solar,Caribe,200,1,.,0.0,0,.,.,2477,.
PV_Oriental,pv_solar,Solar,Oriental,200,1,.,0.0,0,.,.,2221,.
PV_Antioquia,pv_solar,Solar,Antioquia,200,1,.,0.0,0,.,.,2996,.
PV_Nordeste,pv_solar,Solar,Nordeste,200,1,.,0.0,0,.,.,992,.
E_Caribe,Eolica,Wind,Caribe,200,1,.,0.0,0,.,.,5963,.
Bio_Surocciden,Biomass,Biomass,Surocciden,200,0,.,0.0,0,.,.,100,.
GEO_Surocciden,Geothermal,Geothermal,Surocciden,200,0,.,0.0,0,.,.,150,.
E_Caribe_UPME4,Eolica,Wind,Caribe,200,1,.,0.0,0,.,.,4500,.
Bio_Surocciden_UPME4,Biomass,Biomass,Surocciden,200,0,.,0.0,0,.,.,978,.
Biogas_Antioquia_UPME4,Biogas,BIOGAS,Antioquia,200,0,7.5166,0.0,0,.,.,171,.
Biogas_Caribe_UPME4,Biogas,BIOGAS,Caribe,200,0,7.5166,0.0,0,.,.,377,.
Biogas_Nordeste_UPME4,Biogas,BIOGAS,Nordeste,200,0,7.5166,0.0,0,.,.,151,.
Biogas_Oriental_UPME4,Biogas,BIOGAS,Oriental,200,0,7.5166,0.0,0,.,.,338,.
Biogas_Surocciden_UPME4,Biogas,BIOGAS,Surocciden,200,0,7.5166,0.0,0,.,.,285,.
PV_Antioquia_UPME4,pv_solar,Solar,Antioquia,200,1,.,0.0,0,.,.,94,.
PV_Caribe_UPME4,pv_solar,Solar,Caribe,200,1,.,0.0,0,.,.,207,.
PV_Nordeste_UPME4,pv_solar,Solar,Nordeste,200,1,.,0.0,0,.,.,83,.
PV_Oriental_UPME4,pv_solar,Solar,Oriental,200,1,.,0.0,0,.,.,186,.
PV_Surocciden_UPME4,pv_solar,Solar,Surocciden,200,1,.,0.0,0,.,.,156,.
