GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
S_AutPintuco,2023,1.41
S_Palmira3,2023,7.4
S_Belmonte,2021,5.06
S_Termotasajero,2022,4.0
S_Espinal,2020,9.9
S_Girasoles,2023,9.5
S_PortonSol,2023,102.0
S_Since,2022,18.5
S_HeliosI,2022,16.0
E_Jepirachi,2004,18.42
E_Wesp01,2022,12.0
E_GuajiraI,2023,20.0
S_Fundacion,2023,100.0
S_PetaCesaII,2023,9.9
S_BayuncaI,2020,3.0
S_Palmira3_Franca,2023,2.9
S_SalvadorI,2023,0.01
S_SalvadorII,2023,0.0
S_AutSolla,2023,6.4
S_AutEncanto,2023,0.9900000000000002
S_Uruaco,2023,1.0
S_Harinas,2022,2.45
S_AutLevapan,2022,4.99
S_AutGragas,2023,4.0
S_Carmelo,2020,9.9
E_ParqueAlph,2029,212.0
E_ParqueBeta,2029,280.0
E_Camelia,2028,250.0
E_Windpeshi,2028,200.0
S_BSLlanos4,2021,19.9
S_BSLlanos5,2021,17.9
S_CaracoliI,2024,50.0
S_LaLoma,2024,150.0
S_ParqueUrra,2024,19.9
S_Tepuy,2024,83.0
S_El_Paso,2023,68.0
S_LaMata,2024,80.0
S_Escobal6,2026,99.0
S_Union,2024,100.0
S_Nabusimake,2024,100.0
S_Guayepo,2024,370.0
S_Sunnorte,2024,35.0
E_CasaElec,2027,180.0
E_Apoto,2027,75.0
TermoCaribe3,2024,52.0
DST_Surocciden,2024,27.8566230966177
DST_Surocciden,2025,33.3068319633473
DST_Surocciden,2026,36.031936396712
DST_Surocciden,2027,38.7570408300768
DST_Surocciden,2028,38.7570408300768
DST_Surocciden,2029,37.2430939226519
DST_Surocciden,2030,33.0040425818623
DST_Surocciden,2031,33.0040425818623
DST_Surocciden,2032,27.5538337151327
DST_Surocciden,2033,23.920361137313
DST_Surocciden,2034,24.223150518798
DST_Surocciden,2035,20.5896779409783
DST_Surocciden,2036,15.4422584557337
DST_Surocciden,2037,20.8924673224633
DST_Caribe,2024,25.8854601805687
DST_Caribe,2025,30.9500067376364
DST_Caribe,2026,33.4822800161703
DST_Caribe,2027,36.0145532947042
DST_Caribe,2028,36.0145532947042
DST_Caribe,2029,34.6077348066298
DST_Caribe,2030,30.6686430400216
DST_Caribe,2031,30.6686430400216
DST_Caribe,2032,25.6040964829538
DST_Caribe,2033,22.2277321115753
DST_Caribe,2034,22.5090958091901
DST_Caribe,2035,19.1327314378116
DST_Caribe,2036,14.3495485783587
DST_Caribe,2037,19.4140951354265
DST_Oriental,2024,15.2858105376634
DST_Oriental,2025,18.2765125993801
DST_Oriental,2026,19.7718636302385
DST_Oriental,2027,21.2672146610969
DST_Oriental,2028,21.2672146610969
DST_Oriental,2029,20.4364640883978
DST_Oriental,2030,18.1103624848403
DST_Oriental,2031,18.1103624848403
DST_Oriental,2032,15.1196604231236
DST_Oriental,2033,13.1258590486457
DST_Oriental,2034,13.2920091631856
DST_Oriental,2035,11.2982077887077
DST_Oriental,2036,8.47365584153079
DST_Oriental,2037,11.4643579032475
DST_Antioquia,2024,13.3890311278803
DST_Antioquia,2025,16.0086241746395
DST_Antioquia,2026,17.3184206980191
DST_Antioquia,2027,18.6282172213987
DST_Antioquia,2028,18.6282172213987
DST_Antioquia,2029,17.9005524861878
DST_Antioquia,2030,15.8630912275974
DST_Antioquia,2031,15.8630912275974
DST_Antioquia,2032,13.2434981808382
DST_Antioquia,2033,11.497102816332
DST_Antioquia,2034,11.6426357633742
DST_Antioquia,2035,9.89624039886808
DST_Antioquia,2036,7.42218029915106
DST_Antioquia,2037,10.0417733459103
DST_Nordeste,2024,9.58307505726991
DST_Nordeste,2025,11.4580245249966
DST_Nordeste,2026,12.39549925886
DST_Nordeste,2027,13.3329739927234
DST_Nordeste,2028,13.3329739927234
DST_Nordeste,2029,12.8121546961326
DST_Nordeste,2030,11.3538606656785
DST_Nordeste,2031,11.3538606656785
DST_Nordeste,2032,9.47891119795176
DST_Nordeste,2033,8.22894488613395
DST_Nordeste,2034,8.3331087454521
DST_Nordeste,2035,7.08314243363428
DST_Nordeste,2036,5.31235682522571
DST_Nordeste,2037,7.18730629295243
ITUANGO2,2026,1200.0
H_Antioquia,2024,1.5326130292612456e-07
H_Antioquia,2025,5.036458336339982e-09
H_Antioquia,2026,2.423199196319565e-09
H_Antioquia,2027,5.653629585120482e-08
H_Antioquia,2028,9.707030037550872e-08
H_Antioquia,2029,8.301186418553988e-08
H_Antioquia,2030,1.0594949583832259e-07
H_Antioquia,2031,9.652149062348961e-08
H_Antioquia,2032,8.657110471553666e-08
H_Antioquia,2033,8.657646341324466e-08
H_Antioquia,2034,8.769547132430899e-08
H_Antioquia,2035,8.72944852549659e-08
T_Surocciden,2024,7.18906890090017e-07
T_Surocciden,2025,7.819297210756757e-10
T_Surocciden,2026,5.16509668984092e-10
T_Surocciden,2027,7.311289062382424e-10
T_Surocciden,2028,8.981488731073797e-10
T_Surocciden,2029,1.288683544559772e-09
T_Surocciden,2030,147.86522492528258
T_Surocciden,2031,5.3347750829549865
T_Surocciden,2032,1.697686146125626e-09
T_Surocciden,2033,9.353016055667135e-10
T_Surocciden,2034,1.2232081896114037e-09
T_Surocciden,2035,2.2351665313978115e-09
T_Caribe,2024,1.8386280015398894e-06
T_Caribe,2025,5.486899847996461e-10
T_Caribe,2026,3.765562705837176e-10
T_Caribe,2027,3.9882136625560977e-10
T_Caribe,2028,3.9056623881558244e-10
T_Caribe,2029,4.081755764746967e-10
T_Caribe,2030,5.022068359275047e-10
T_Caribe,2031,5.578246206148067e-10
T_Caribe,2032,5.905883751455012e-10
T_Caribe,2033,6.593681891497112e-10
T_Caribe,2034,7.83434612650829e-10
T_Caribe,2035,1.0666820006216464e-09
T_Oriental,2024,152.8277188037778
T_Oriental,2025,6.660851158631517e-10
T_Oriental,2026,4.4307598661958664e-10
T_Oriental,2027,6.135716849843681e-10
T_Oriental,2028,7.636949431307922e-10
T_Oriental,2029,1.1553711185318083e-09
T_Oriental,2030,0.3722818374091753
T_Oriental,2031,8.903866399002292e-08
T_Oriental,2032,2.1456340486504715e-08
T_Oriental,2033,1.872744571319386e-09
T_Oriental,2034,2.741849240485302e-09
T_Oriental,2035,5.960990944773726e-09
T_Antioquia,2024,3.763410706895905e-07
T_Antioquia,2025,1.1810987115946099e-09
T_Antioquia,2026,7.458386813674303e-10
T_Antioquia,2027,1.8186851870493662e-09
T_Antioquia,2028,6.515433310466942e-09
T_Antioquia,2029,2.6299320087100648e-08
T_Antioquia,2030,1.5666848286340155e-07
T_Antioquia,2031,1.3064976819395906e-07
T_Antioquia,2032,7.692170771444885e-08
T_Antioquia,2033,7.211119874710285e-08
T_Antioquia,2034,8.084058239114701e-08
T_Antioquia,2035,8.241647385113596e-08
T_Nordeste,2024,6.396146895695016e-07
T_Nordeste,2025,8.482460750452621e-10
T_Nordeste,2026,5.538101582937735e-10
T_Nordeste,2027,8.264986280215693e-10
T_Nordeste,2028,1.048868839298563e-09
T_Nordeste,2029,1.4943722299484105e-09
T_Nordeste,2030,8.48132193993714e-09
T_Nordeste,2031,6.636273335022666e-08
T_Nordeste,2032,8.921714535270977e-08
T_Nordeste,2033,7.970388021828624e-08
T_Nordeste,2034,1.393605205525643e-07
T_Nordeste,2035,6.666536904537224e-08
PV_Surocciden,2024,4.0860249900399786e-10
PV_Surocciden,2025,1.0571031606058106e-09
PV_Surocciden,2026,2.43402592651092e-08
PV_Surocciden,2027,8.994756802712078e-08
PV_Surocciden,2028,8.954818055223732e-08
PV_Surocciden,2029,8.917219849066738e-08
PV_Surocciden,2030,1.0050589143241048e-07
PV_Surocciden,2031,1.262661673367241e-07
PV_Surocciden,2032,1.513024818643523e-07
PV_Surocciden,2033,4.180114577146098e-08
PV_Surocciden,2034,2.02469948554495e-07
PV_Surocciden,2035,9.845251968399553e-07
PV_Caribe,2024,4.6132878430483427e-10
PV_Caribe,2025,1.2871794175263869e-09
PV_Caribe,2026,7.00096604502836e-08
PV_Caribe,2027,8.793008218079434e-08
PV_Caribe,2028,8.774544403853392e-08
PV_Caribe,2029,8.754497261425019e-08
PV_Caribe,2030,9.050941919818962e-08
PV_Caribe,2031,9.56742002157542e-08
PV_Caribe,2032,1.0060480847285384e-07
PV_Caribe,2033,1.0989601207001008e-07
PV_Caribe,2034,1.364705122062319e-07
PV_Caribe,2035,1.6430417657263286e-07
PV_Oriental,2024,3.777251145833036e-10
PV_Oriental,2025,9.925948460088962e-10
PV_Oriental,2026,3.5468670763205656e-08
PV_Oriental,2027,8.82918488429049e-08
PV_Oriental,2028,8.857453295604121e-08
PV_Oriental,2029,8.847823141863734e-08
PV_Oriental,2030,9.926527035871395e-08
PV_Oriental,2031,1.3486780758447047e-07
PV_Oriental,2032,1.669163187487747e-07
PV_Oriental,2033,2.930272048455055e-08
PV_Oriental,2034,2.5388577256251217e-07
PV_Oriental,2035,948.9651174769594
PV_Antioquia,2024,4.59447078329541e-10
PV_Antioquia,2025,1.2160727714972683e-09
PV_Antioquia,2026,2.4900304712488052e-08
PV_Antioquia,2027,8.766939158535679e-08
PV_Antioquia,2028,8.783416661779822e-08
PV_Antioquia,2029,8.791290475720965e-08
PV_Antioquia,2030,9.13583545162071e-08
PV_Antioquia,2031,9.55555164815446e-08
PV_Antioquia,2032,9.902355239509062e-08
PV_Antioquia,2033,1.0506612629594495e-07
PV_Antioquia,2034,1.1930023878890876e-07
PV_Antioquia,2035,1.3914649905385777e-07
PV_Nordeste,2024,4.63275893609508e-10
PV_Nordeste,2025,1.2578153307508167e-09
PV_Nordeste,2026,5.924704550550234e-08
PV_Nordeste,2027,8.763897376869738e-08
PV_Nordeste,2028,8.762693973620293e-08
PV_Nordeste,2029,8.76519351165412e-08
PV_Nordeste,2030,9.26852307515526e-08
PV_Nordeste,2031,9.981954612840057e-08
PV_Nordeste,2032,1.0751634023016376e-07
PV_Nordeste,2033,1.251958661771499e-07
PV_Nordeste,2034,2.4821061333383805e-07
PV_Nordeste,2035,6.155420117750875e-07
E_Caribe,2024,1122.0816393435905
E_Caribe,2025,5.760006796832985e-10
E_Caribe,2026,3.6584176937400365e-10
E_Caribe,2027,4.909179416972054e-10
E_Caribe,2028,5.178319034388595e-10
E_Caribe,2029,6.533357538924787e-10
E_Caribe,2030,2.224210799597482e-09
E_Caribe,2031,75.32871483429474
E_Caribe,2032,415.0246308083819
E_Caribe,2033,488.9365851219018
E_Caribe,2034,126.42432806876182
E_Caribe,2035,463.14313241355364
GEO_Surocciden,2024,8.879664310020729e-10
GEO_Surocciden,2025,4.0608406538984626e-08
GEO_Surocciden,2026,6.961521966096976e-08
GEO_Surocciden,2027,9.704929175533734e-08
GEO_Surocciden,2028,9.247349903378012e-08
GEO_Surocciden,2029,8.972135805753884e-08
GEO_Surocciden,2030,1.3632483475151381e-07
GEO_Surocciden,2031,57.89066805945228
GEO_Surocciden,2032,60.44437417223489
GEO_Surocciden,2033,3.313655766433461e-09
GEO_Surocciden,2034,31.664958232634138
GEO_Surocciden,2035,8.95981845571242e-08
Bio_Surocciden,2024,8.908279503928295e-10
Bio_Surocciden,2025,4.061553551320431e-08
Bio_Surocciden,2026,6.960526717225174e-08
Bio_Surocciden,2027,9.705270995403259e-08
Bio_Surocciden,2028,9.247126676990358e-08
Bio_Surocciden,2029,8.96888882719563e-08
Bio_Surocciden,2030,1.3627814275736028e-07
Bio_Surocciden,2031,56.87395001133251
Bio_Surocciden,2032,38.00281032396833
Bio_Surocciden,2033,3.1250449501089522e-09
Bio_Surocciden,2034,5.123240146058492
Bio_Surocciden,2035,8.983464377890323e-08
