GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
BARRANQUILL3,1,GASIMPOR,5.869509766471484e-08
BARRANQUILL3,2,GASIMPOR,5.860887866966253e-08
BARRANQUILL3,3,GASIMPOR,5.8608429816329226e-08
BARRANQUILL3,4,GASIMPOR,5.844726682838091e-08
BARRANQUILL3,5,GASIMPOR,5.844713249855393e-08
BARRANQUILL3,6,GASIMPOR,5.844696965617514e-08
BARRANQUILL3,7,GASIMPOR,5.8608069697376086e-08
BARRANQUILL3,8,GASIMPOR,5.8607580289465347e-08
BARRANQUILL3,9,GASIMPOR,5.860754153124688e-08
BARRANQUILL3,10,GASIMPOR,5.8693011631250174e-08
BARRANQUILL3,11,GASIMPOR,5.86931839455944e-08
BARRANQUILL3,12,GASIMPOR,5.869455444327791e-08
BARRANQUILL3,13,GASIMPOR,6.359898003956366e-08
BARRANQUILL3,14,GASIMPOR,6.36097807033975e-08
BARRANQUILL3,15,GASIMPOR,6.361671915189701e-08
BARRANQUILL3,16,GASIMPOR,6.361865689632e-08
BARRANQUILL3,17,GASIMPOR,6.361938944299833e-08
BARRANQUILL3,18,GASIMPOR,6.361982482377191e-08
BARRANQUILL3,19,GASIMPOR,6.361975887256131e-08
BARRANQUILL3,20,GASIMPOR,6.361950752472276e-08
BARRANQUILL3,21,GASIMPOR,6.361944301256641e-08
BARRANQUILL3,22,GASIMPOR,6.361960599359362e-08
BARRANQUILL3,23,GASIMPOR,6.361947616366375e-08
BARRANQUILL3,24,GASIMPOR,5.8702650823124947e-08
BARRANQUILL3,25,GASIMPOR,3.5031922767328286e-07
BARRANQUILL3,26,GASIMPOR,3.503013074791902e-07
BARRANQUILL3,27,GASIMPOR,3.4932947087986003e-07
BARRANQUILL3,28,GASIMPOR,3.4930887869329144e-07
BARRANQUILL3,29,GASIMPOR,3.492898915430721e-07
BARRANQUILL3,30,GASIMPOR,3.4911191288535074e-07
BARRANQUILL3,31,GASIMPOR,3.4909674211001646e-07
BARRANQUILL3,32,GASIMPOR,3.405540041570334e-07
BARRANQUILL3,33,GASIMPOR,3.405502889352963e-07
BARRANQUILL3,34,GASIMPOR,3.490585468079166e-07
BARRANQUILL3,35,GASIMPOR,3.490990800989402e-07
BARRANQUILL3,36,GASIMPOR,3.4929326823079967e-07
BARRANQUILL3,37,GASIMPOR,3.493202476701301e-07
BARRANQUILL3,38,GASIMPOR,3.4934627170751096e-07
BARRANQUILL3,39,GASIMPOR,3.503000806861975e-07
BARRANQUILL3,40,GASIMPOR,3.5031339404831163e-07
BARRANQUILL3,41,GASIMPOR,3.503279538249501e-07
BARRANQUILL3,42,GASIMPOR,3.508335689439653e-07
BARRANQUILL3,43,GASIMPOR,3.5084200187678306e-07
BARRANQUILL3,44,GASIMPOR,3.5092065578639663e-07
BARRANQUILL3,45,GASIMPOR,3.5097054475156703e-07
BARRANQUILL3,46,GASIMPOR,3.509495385759061e-07
BARRANQUILL3,47,GASIMPOR,3.508944631812771e-07
BARRANQUILL3,48,GASIMPOR,3.5085585864262274e-07
BARRANQUILL3,49,GASIMPOR,5.8696380198883336e-08
BARRANQUILL3,50,GASIMPOR,5.861045465446518e-08
BARRANQUILL3,51,GASIMPOR,5.861035262978603e-08
BARRANQUILL3,52,GASIMPOR,5.861026793979127e-08
BARRANQUILL3,53,GASIMPOR,5.861033501950239e-08
BARRANQUILL3,54,GASIMPOR,5.860981554461011e-08
BARRANQUILL3,55,GASIMPOR,5.860980234387582e-08
BARRANQUILL3,56,GASIMPOR,5.8609367020842655e-08
BARRANQUILL3,57,GASIMPOR,5.8693650461953224e-08
BARRANQUILL3,58,GASIMPOR,5.869467132040389e-08
BARRANQUILL3,59,GASIMPOR,5.869483249502813e-08
