GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
S_AutPintuco,2023,1.41
S_Palmira3,2023,7.4
S_Belmonte,2021,5.06
S_Termotasajero,2022,4.0
S_Espinal,2020,9.9
S_Girasoles,2023,9.5
S_PortonSol,2023,102.0
S_Since,2022,18.5
S_HeliosI,2022,16.0
E_Jepirachi,2004,18.42
E_Wesp01,2022,12.0
E_GuajiraI,2023,20.0
S_Fundacion,2023,100.0
S_PetaCesaII,2023,9.9
S_BayuncaI,2020,3.0
S_Palmira3_Franca,2023,2.9
S_SalvadorI,2023,0.01
S_SalvadorII,2023,0.0
S_AutSolla,2023,6.4
S_AutEncanto,2023,0.9900000000000002
S_Uruaco,2023,1.0
S_Harinas,2022,2.45
S_AutLevapan,2022,4.99
S_AutGragas,2023,4.0
S_Carmelo,2020,9.9
E_ParqueAlph,2029,212.0
E_ParqueBeta,2029,280.0
E_Camelia,2028,250.0
E_Windpeshi,2028,200.0
S_BSLlanos4,2021,19.9
S_BSLlanos5,2021,17.9
S_CaracoliI,2024,50.0
S_LaLoma,2024,150.0
S_ParqueUrra,2024,19.9
S_Tepuy,2024,83.0
S_El_Paso,2023,68.0
S_LaMata,2024,80.0
S_Escobal6,2026,99.0
S_Union,2024,100.0
S_Nabusimake,2024,100.0
S_Guayepo,2024,370.0
S_Sunnorte,2024,35.0
E_CasaElec,2027,180.0
E_Apoto,2027,75.0
TermoCaribe3,2024,52.0
DST_Surocciden,2024,27.8566230966177
DST_Surocciden,2025,33.3068319633473
DST_Surocciden,2026,36.031936396712
DST_Surocciden,2027,38.7570408300768
DST_Surocciden,2028,38.7570408300768
DST_Surocciden,2029,37.2430939226519
DST_Surocciden,2030,33.0040425818623
DST_Surocciden,2031,33.0040425818623
DST_Surocciden,2032,27.5538337151327
DST_Surocciden,2033,23.920361137313
DST_Surocciden,2034,24.223150518798
DST_Surocciden,2035,20.5896779409783
DST_Surocciden,2036,15.4422584557337
DST_Surocciden,2037,20.8924673224633
DST_Caribe,2024,25.8854601805687
DST_Caribe,2025,30.9500067376364
DST_Caribe,2026,33.4822800161703
DST_Caribe,2027,36.0145532947042
DST_Caribe,2028,36.0145532947042
DST_Caribe,2029,34.6077348066298
DST_Caribe,2030,30.6686430400216
DST_Caribe,2031,30.6686430400216
DST_Caribe,2032,25.6040964829538
DST_Caribe,2033,22.2277321115753
DST_Caribe,2034,22.5090958091901
DST_Caribe,2035,19.1327314378116
DST_Caribe,2036,14.3495485783587
DST_Caribe,2037,19.4140951354265
DST_Oriental,2024,15.2858105376634
DST_Oriental,2025,18.2765125993801
DST_Oriental,2026,19.7718636302385
DST_Oriental,2027,21.2672146610969
DST_Oriental,2028,21.2672146610969
DST_Oriental,2029,20.4364640883978
DST_Oriental,2030,18.1103624848403
DST_Oriental,2031,18.1103624848403
DST_Oriental,2032,15.1196604231236
DST_Oriental,2033,13.1258590486457
DST_Oriental,2034,13.2920091631856
DST_Oriental,2035,11.2982077887077
DST_Oriental,2036,8.47365584153079
DST_Oriental,2037,11.4643579032475
DST_Antioquia,2024,13.3890311278803
DST_Antioquia,2025,16.0086241746395
DST_Antioquia,2026,17.3184206980191
DST_Antioquia,2027,18.6282172213987
DST_Antioquia,2028,18.6282172213987
DST_Antioquia,2029,17.9005524861878
DST_Antioquia,2030,15.8630912275974
DST_Antioquia,2031,15.8630912275974
DST_Antioquia,2032,13.2434981808382
DST_Antioquia,2033,11.497102816332
DST_Antioquia,2034,11.6426357633742
DST_Antioquia,2035,9.89624039886808
DST_Antioquia,2036,7.42218029915106
DST_Antioquia,2037,10.0417733459103
DST_Nordeste,2024,9.58307505726991
DST_Nordeste,2025,11.4580245249966
DST_Nordeste,2026,12.39549925886
DST_Nordeste,2027,13.3329739927234
DST_Nordeste,2028,13.3329739927234
DST_Nordeste,2029,12.8121546961326
DST_Nordeste,2030,11.3538606656785
DST_Nordeste,2031,11.3538606656785
DST_Nordeste,2032,9.47891119795176
DST_Nordeste,2033,8.22894488613395
DST_Nordeste,2034,8.3331087454521
DST_Nordeste,2035,7.08314243363428
DST_Nordeste,2036,5.31235682522571
DST_Nordeste,2037,7.18730629295243
ITUANGO2,2026,1200.0
H_Antioquia,2025,2.112061961585784e-06
H_Antioquia,2030,2.5635165776983452e-08
H_Antioquia,2035,2.9248164732834907e-07
H_Antioquia,2040,8.776056560133258e-07
H_Antioquia,2045,1.3290792965014543e-06
H_Antioquia,2050,3.2111643657061236e-06
T_Surocciden,2025,79.54089224402249
T_Surocciden,2030,8.762536446960522e-09
T_Surocciden,2035,9.51784408139565e-09
T_Surocciden,2040,1.0839472906863482e-08
T_Surocciden,2045,2.7471057788419468e-08
T_Surocciden,2050,73.65911237171153
T_Caribe,2025,3.610065430208901e-05
T_Caribe,2030,5.457701849981812e-09
T_Caribe,2035,6.834545893188688e-09
T_Caribe,2040,1.0777546287439587e-08
T_Caribe,2045,2.3335672007008886e-08
T_Caribe,2050,2.6614864072892784e-07
T_Oriental,2025,153.20000119860086
T_Oriental,2030,6.778998264380771e-08
T_Oriental,2035,6.027612335064005e-08
T_Oriental,2040,7.759222047840573e-08
T_Oriental,2045,1.5115496507910163e-06
T_Oriental,2050,1.7575996075298666e-06
T_Antioquia,2025,6.69881987251885e-06
T_Antioquia,2030,9.291998323263984e-09
T_Antioquia,2035,1.8293513416838567e-08
T_Antioquia,2040,3.9558213141080194e-08
T_Antioquia,2045,5.608231100294737e-07
T_Antioquia,2050,0.00020100916917627492
T_Nordeste,2025,4.6553854252831165e-05
T_Nordeste,2030,8.561775129691418e-09
T_Nordeste,2035,1.5036219972848078e-08
T_Nordeste,2040,3.045667356661087e-08
T_Nordeste,2045,1.3130608016440348e-07
T_Nordeste,2050,153.19995788368502
PV_Surocciden,2025,5.490881040016074e-09
PV_Surocciden,2030,4.941210009607683e-08
PV_Surocciden,2035,1.2119541294614241e-05
PV_Surocciden,2040,1.7488593653388526e-07
PV_Surocciden,2045,2.285295993003054e-06
PV_Surocciden,2050,1868.9999882169816
PV_Caribe,2025,6.380956775679786e-09
PV_Caribe,2030,1.541926084890712e-07
PV_Caribe,2035,6.242479869246949e-06
PV_Caribe,2040,1.724517719669484e-06
PV_Caribe,2045,3.818034662793265e-06
PV_Caribe,2050,7.2168055884945745e-06
PV_Oriental,2025,5.785007289716928e-09
PV_Oriental,2030,8.721725414690221e-08
PV_Oriental,2035,1303.6647785771863
PV_Oriental,2040,7.951684564570193e-07
PV_Oriental,2045,917.3352185900388
PV_Oriental,2050,4.614795393864156e-06
PV_Antioquia,2025,4.682931608158115e-09
PV_Antioquia,2030,9.217553715027288e-09
PV_Antioquia,2035,4.504953932617148e-06
PV_Antioquia,2040,1.5151373182399347e-06
PV_Antioquia,2045,3.2964529366342092e-06
PV_Antioquia,2050,1.7746864247684993e-05
PV_Nordeste,2025,6.210594475118139e-09
PV_Nordeste,2030,1.4256185252034716e-07
PV_Nordeste,2035,2.190711624976776e-05
PV_Nordeste,2040,0.00012141551573472376
PV_Nordeste,2045,239.0711903330677
PV_Nordeste,2050,752.9286687513035
E_Caribe,2025,1239.1782975417623
E_Caribe,2030,1.458632001397298e-08
E_Caribe,2035,1528.7569784157831
E_Caribe,2040,1.455870808114957
E_Caribe,2045,73.5710883774152
E_Caribe,2050,2400.436410749881
GEO_Surocciden,2025,5.688122227964902e-09
GEO_Surocciden,2030,1.2009910857219226e-06
GEO_Surocciden,2035,150.00000120641795
GEO_Surocciden,2040,4.724219592579374e-07
GEO_Surocciden,2045,1.0235254734643898e-06
GEO_Surocciden,2050,7.78271892229845e-07
Bio_Surocciden,2025,5.874726961961067e-09
Bio_Surocciden,2030,1.202119087101618e-06
Bio_Surocciden,2035,100.00000126849505
Bio_Surocciden,2040,4.86418351004347e-07
Bio_Surocciden,2045,1.007312591176654e-06
Bio_Surocciden,2050,7.790405216304788e-07
E_Caribe_UPME4,2040,206.62461336330867
E_Caribe_UPME4,2045,2064.433046506603
E_Caribe_UPME4,2050,2124.9326930723278
Bio_Surocciden_UPME4,2040,733.8742894019126
Bio_Surocciden_UPME4,2045,244.12571158291047
Bio_Surocciden_UPME4,2050,6.563008766814908e-07
Biogas_Antioquia_UPME4,2040,2.4100750076285262e-05
Biogas_Antioquia_UPME4,2045,170.9999766121899
Biogas_Antioquia_UPME4,2050,1.8421233674881737e-06
Biogas_Caribe_UPME4,2040,377.00000069574935
Biogas_Caribe_UPME4,2045,7.793764503327423e-07
Biogas_Caribe_UPME4,2050,7.98628531206842e-07
Biogas_Nordeste_UPME4,2040,151.00000118801722
Biogas_Nordeste_UPME4,2045,6.983765842921491e-07
Biogas_Nordeste_UPME4,2050,6.953690916551092e-07
Biogas_Oriental_UPME4,2040,338.0000009598252
Biogas_Oriental_UPME4,2045,6.978572772996587e-07
Biogas_Oriental_UPME4,2050,7.031225409748209e-07
Biogas_Surocciden_UPME4,2040,279.49221019849915
Biogas_Surocciden_UPME4,2045,5.507791459840899
Biogas_Surocciden_UPME4,2050,7.684635759381124e-07
PV_Antioquia_UPME4,2040,3.82694459965615e-06
PV_Antioquia_UPME4,2045,3.403339111660424e-06
PV_Antioquia_UPME4,2050,1.77160051831554e-05
PV_Caribe_UPME4,2040,5.83315248912404e-06
PV_Caribe_UPME4,2045,4.00669440590141e-06
PV_Caribe_UPME4,2050,7.242241445129312e-06
PV_Nordeste_UPME4,2040,0.00014134081788731977
PV_Nordeste_UPME4,2045,79.38936552311701
PV_Nordeste_UPME4,2050,3.6104947219043124
PV_Oriental_UPME4,2040,8.241170902072602e-05
PV_Oriental_UPME4,2045,185.9999160718504
PV_Oriental_UPME4,2050,3.905272519461099e-06
PV_Surocciden_UPME4,2040,5.807483790038298e-06
PV_Surocciden_UPME4,2045,6.3098041756997345e-06
PV_Surocciden_UPME4,2050,155.99998999605597
